Date,J,Tmax,Tmin,RH_morning,RH_evening,SSH,WS
2010-01-01,1,24.1,5.1,89,49,7.2,0.2
2010-01-02,2,25.5,4.8,88,43,8.0,1.27
2010-01-03,3,26.5,5.8,84,32,8.0,1.32
2010-01-04,4,24.6,5.2,94,27,6.9,1.0
2010-01-05,5,27.1,4.9,93,44,9.1,0.35
2010-01-06,6,26.2,1.7,69,36,5.7,1.15
2010-01-07,7,26.5,2.5,97,32,7.3,0.68
2010-01-08,8,24.8,7.5,95,45,8.8,0.99
2010-01-09,9,22.6,3.7,86,47,7.0,1.73
2010-01-10,10,22.0,2.8,96,56,8.5,1.13
2010-01-11,11,28.8,5.3,79,37,9.4,0.22
2010-01-12,12,24.6,6.1,87,49,8.7,1.73
2010-01-13,13,26.4,4.0,86,34,9.4,0.57
2010-01-14,14,24.3,7.4,84,39,3.8,0.37
2010-01-15,15,22.8,6.5,100,42,8.0,0.87
2010-01-16,16,27.8,7.7,92,32,9.3,0.95
2010-01-17,17,28.2,5.4,100,38,10.7,0.85
2010-01-18,18,23.0,2.7,89,56,9.1,1.08
2010-01-19,19,17.4,7.3,94,37,6.2,0.8
2010-01-20,20,29.7,2.9,87,56,6.6,0.65
2010-01-21,21,24.8,2.4,92,30,9.3,0.8
2010-01-22,22,31.4,6.2,100,29,7.3,0.93
2010-01-23,23,29.7,1.3,98,48,10.6,1.08
2010-01-24,24,24.7,4.2,80,44,7.1,1.61
2010-01-25,25,22.7,6.3,77,38,8.0,1.13
2010-01-26,26,28.8,5.4,81,47,8.5,1.0
2010-01-27,27,22.4,8.3,91,49,10.0,1.04
2010-01-28,28,25.4,10.9,92,39,7.7,1.39
2010-01-29,29,24.9,6.8,100,37,4.0,0.92
2010-01-30,30,25.2,4.0,97,48,5.5,1.01
2010-01-31,31,23.9,1.8,94,42,6.0,1.01
2010-02-01,32,30.0,7.1,85,45,7.1,1.15
2010-02-02,33,28.5,14.2,67,42,7.9,0.96
2010-02-03,34,34.2,8.5,100,31,9.2,0.8
2010-02-04,35,26.4,8.7,80,37,4.3,1.8
2010-02-05,36,28.0,12.9,74,38,12.3,0.65
2010-02-06,37,24.0,7.1,86,42,11.1,0.9
2010-02-07,38,23.7,7.4,92,40,4.6,0.99
2010-02-08,39,32.7,13.8,86,38,6.0,0.66
2010-02-09,40,28.6,9.8,87,30,6.2,0.69
2010-02-10,41,25.0,10.1,64,32,9.4,1.61
2010-02-11,42,28.7,11.0,79,28,7.2,1.61
2010-02-12,43,31.5,9.7,100,35,9.7,1.12
2010-02-13,44,27.8,14.3,94,21,7.7,1.17
2010-02-14,45,30.8,5.1,64,16,8.4,0.96
2010-02-15,46,29.5,6.6,72,15,9.2,1.15
2010-02-16,47,31.5,10.5,80,48,8.2,0.74
2010-02-17,48,26.9,7.0,65,37,9.0,0.86
2010-02-18,49,26.4,9.4,96,35,7.5,0.76
2010-02-19,50,28.3,5.3,81,36,12.2,1.38
2010-02-20,51,31.6,6.7,87,24,9.1,1.17
2010-02-21,52,26.2,13.5,87,16,9.6,0.84
2010-02-22,53,28.5,9.7,85,15,6.2,1.31
2010-02-23,54,32.4,13.3,96,14,10.0,0.23
2010-02-24,55,33.3,9.1,73,55,9.8,0.24
2010-02-25,56,29.4,6.7,83,30,11.2,0.43
2010-02-26,57,29.5,13.0,75,37,8.9,0.72
2010-02-27,58,30.4,8.7,74,53,10.1,0.93
2010-02-28,59,26.6,6.5,92,34,9.4,0.93
2010-03-01,60,36.3,13.7,71,23,10.7,1.57
